Text,Date,Time,Draft,Facebook,Twitter/X,LinkedIn,GBP,Instagram,Pinterest,TikTok,Youtube,Threads,Bluesky,Picture Url 1,Picture Url 2,Picture Url 3,Picture Url 4,Picture Url 5,Picture Url 6,Picture Url 7,Picture Url 8,Picture Url 9,Picture Url 10,Alt text picture 1,Alt text picture 2,Alt text picture 3,Alt text picture 4,Alt text picture 5,Alt text picture 6,Alt text picture 7,Alt text picture 8,Alt text picture 9,Alt text picture 10,Document title,Shortener,Video Thumbnail Url,Video Cover Frame,Twitter/X Can reply,Twitter/X Type,Twitter/X Poll Duration minutes,Twitter/X Poll Option 1,Twitter/X Poll Option 2,Twitter/X Poll Option 3,Twitter/X Poll Option 4,Pinterest Board,Pinterest Pin Title,Pinterest Pin Link,Pinterest Pin New Format,Instagram Post Type,Instagram Show Reel On Feed,Youtube Video Title,Youtube Video Type,Youtube Video Privacy,Youtube video for kids,Youtube Video Category,Youtube Video Tags,Youtube playlist,GBP Post Type,Facebook Post Type,Facebook Title,First Comment Text,TikTok Title,TikTok disable comments,TikTok disable duet,TikTok disable stitch,TikTok Post Privacy,TikTok Branded Content,TikTok Your Brand,TikTok Auto Add Music,TikTok Photo Cover Index,TikTok musicId,TikTok music title,TikTok music author,TikTok music previewUrl,TikTok music thumbnailUrl,TikTok music soundVolume,TikTok music originalVolume,TikTok music startMillis,TikTok music endMillis,TikTok is AI generated content,LinkedIn Type,LinkedIn Poll Question,LinkedIn Poll Option 1,LinkedIn Poll Option 2,LinkedIn Poll Option 3,LinkedIn Poll Option 4,LinkedIn Poll Duration,LinkedIn Show link preview,LinkedIn Images as Carousel,Threads Reply Control,Threads Is Spoiler,Threads Post Type
"Sabias que...

O que te incomoda nos outros é, quase sempre, um convite a olhares para ti com mais ternura.

Vivianne dos Santos · seteveus.space

.
.
.

#autoconhecimento #selfknowledge #introspeccao #viviannedossantos #seteveus #escoladosveus #manhãs #despertar #consciencia #espiritualidade #pt #portugal","2026-05-18","10:00",false,false,false,false,false,true,false,false,false,false,false,"https://tdytdamtfillqyklgrmb.supabase.co/storage/v1/object/public/course-assets/vc-sabia-renders/vc-sabia-2026-05-d16-d31-1778861977952-d18.mp4","","","","","","","","","",,"","","","","","","","","","",false,"","","","POST","","","","","",,,,,"REEL",true,,"","",,"","","","","","","","",false,false,false,"",,,,,,,,,,,,,,false,"POST","","","","","","",,,"",false,""
"Sabias que... Repara hoje no que repetes sem perceber: é aí que começa o teu mapa.

#fyp #foryou #fypシ #autoconhecimento #selfknowledge #introspeccao #viviannedossantos #seteveus #manhãs #pt","2026-05-17","10:30",false,false,false,false,false,false,false,true,false,false,false,"https://tdytdamtfillqyklgrmb.supabase.co/storage/v1/object/public/course-assets/vc-sabia-renders/vc-sabia-2026-05-d16-d31-1778861977952-d17.mp4","","","","","","","","","",,"","","","","","","","","","",false,"","","","POST","","","","","",,,,,"","",,"","",,"","","","","","","","",false,false,false,PUBLIC_TO_EVERYONE,,,,0,,,,,,,,,,false,"POST","","","","","","",,,"",false,""
"Sabias que... O que te incomoda nos outros é, quase sempre, um convite a olhares para ti com mais ternura.

#fyp #foryou #fypシ #autoconhecimento #selfknowledge #introspeccao #viviannedossantos #seteveus #manhãs #pt","2026-05-18","10:30",false,false,false,false,false,false,false,true,false,false,false,"https://tdytdamtfillqyklgrmb.supabase.co/storage/v1/object/public/course-assets/vc-sabia-renders/vc-sabia-2026-05-d16-d31-1778861977952-d18.mp4","","","","","","","","","",,"","","","","","","","","","",false,"","","","POST","","","","","",,,,,"","",,"","",,"","","","","","","","",false,false,false,PUBLIC_TO_EVERYONE,,,,0,,,,,,,,,,false,"POST","","","","","","",,,"",false,""
"Sabias que... Cada pergunta que te fazes com coragem é uma raiz nova a crescer dentro de ti.

#fyp #foryou #fypシ #autoconhecimento #selfknowledge #introspeccao #viviannedossantos #seteveus #manhãs #pt","2026-05-19","10:30",false,false,false,false,false,false,false,true,false,false,false,"https://tdytdamtfillqyklgrmb.supabase.co/storage/v1/object/public/course-assets/vc-sabia-renders/vc-sabia-2026-05-d16-d31-1778861977952-d19.mp4","","","","","","","","","",,"","","","","","","","","","",false,"","","","POST","","","","","",,,,,"","",,"","",,"","","","","","","","",false,false,false,PUBLIC_TO_EVERYONE,,,,0,,,,,,,,,,false,"POST","","","","","","",,,"",false,""
"Sabias que...

Cada pergunta que te fazes com coragem é uma raiz nova a crescer dentro de ti.

Vivianne dos Santos · seteveus.space

.
.
.

#autoconhecimento #selfknowledge #introspeccao #viviannedossantos #seteveus #escoladosveus #manhãs #despertar #consciencia #espiritualidade #pt #portugal","2026-05-19","10:00",false,false,false,false,false,true,false,false,false,false,false,"https://tdytdamtfillqyklgrmb.supabase.co/storage/v1/object/public/course-assets/vc-sabia-renders/vc-sabia-2026-05-d16-d31-1778861977952-d19.mp4","","","","","","","","","",,"","","","","","","","","","",false,"","","","POST","","","","","",,,,,"REEL",true,,"","",,"","","","","","","","",false,false,false,"",,,,,,,,,,,,,,false,"POST","","","","","","",,,"",false,""
"Sabias que... A maré recua para ganhar força. Tu também. Confia no teu recolher.

#fyp #foryou #fypシ #autoconhecimento #selfknowledge #introspeccao #viviannedossantos #seteveus #manhãs #pt","2026-05-20","10:30",false,false,false,false,false,false,false,true,false,false,false,"https://tdytdamtfillqyklgrmb.supabase.co/storage/v1/object/public/course-assets/vc-sabia-renders/vc-sabia-2026-05-d16-d31-1778861977952-d20.mp4","","","","","","","","","",,"","","","","","","","","","",false,"","","","POST","","","","","",,,,,"","",,"","",,"","","","","","","","",false,false,false,PUBLIC_TO_EVERYONE,,,,0,,,,,,,,,,false,"POST","","","","","","",,,"",false,""
"Sabias que...

A maré recua para ganhar força. Tu também. Confia no teu recolher.

Vivianne dos Santos · seteveus.space

.
.
.

#autoconhecimento #selfknowledge #introspeccao #viviannedossantos #seteveus #escoladosveus #manhãs #despertar #consciencia #espiritualidade #pt #portugal","2026-05-20","10:00",false,false,false,false,false,true,false,false,false,false,false,"https://tdytdamtfillqyklgrmb.supabase.co/storage/v1/object/public/course-assets/vc-sabia-renders/vc-sabia-2026-05-d16-d31-1778861977952-d20.mp4","","","","","","","","","",,"","","","","","","","","","",false,"","","","POST","","","","","",,,,,"REEL",true,,"","",,"","","","","","","","",false,false,false,"",,,,,,,,,,,,,,false,"POST","","","","","","",,,"",false,""
"Sabias que... Quanto mais te conheces, menos precisas que o mundo te explique.

#fyp #foryou #fypシ #autoconhecimento #selfknowledge #introspeccao #viviannedossantos #seteveus #manhãs #pt","2026-05-21","10:30",false,false,false,false,false,false,false,true,false,false,false,"https://tdytdamtfillqyklgrmb.supabase.co/storage/v1/object/public/course-assets/vc-sabia-renders/vc-sabia-2026-05-d16-d31-1778861977952-d21.mp4","","","","","","","","","",,"","","","","","","","","","",false,"","","","POST","","","","","",,,,,"","",,"","",,"","","","","","","","",false,false,false,PUBLIC_TO_EVERYONE,,,,0,,,,,,,,,,false,"POST","","","","","","",,,"",false,""
"Sabias que...

Quanto mais te conheces, menos precisas que o mundo te explique.

Vivianne dos Santos · seteveus.space

.
.
.

#autoconhecimento #selfknowledge #introspeccao #viviannedossantos #seteveus #escoladosveus #manhãs #despertar #consciencia #espiritualidade #pt #portugal","2026-05-21","10:00",false,false,false,false,false,true,false,false,false,false,false,"https://tdytdamtfillqyklgrmb.supabase.co/storage/v1/object/public/course-assets/vc-sabia-renders/vc-sabia-2026-05-d16-d31-1778861977952-d21.mp4","","","","","","","","","",,"","","","","","","","","","",false,"","","","POST","","","","","",,,,,"REEL",true,,"","",,"","","","","","","","",false,false,false,"",,,,,,,,,,,,,,false,"POST","","","","","","",,,"",false,""
"Sabias que...

Conhecer-te é aprender a distinguir a tua voz da voz do medo.

Vivianne dos Santos · seteveus.space

.
.
.

#autoconhecimento #selfknowledge #introspeccao #viviannedossantos #seteveus #escoladosveus #manhãs #despertar #consciencia #espiritualidade #pt #portugal","2026-05-22","10:00",false,false,false,false,false,true,false,false,false,false,false,"https://tdytdamtfillqyklgrmb.supabase.co/storage/v1/object/public/course-assets/vc-sabia-renders/vc-sabia-2026-05-d16-d31-1778861977952-d22.mp4","","","","","","","","","",,"","","","","","","","","","",false,"","","","POST","","","","","",,,,,"REEL",true,,"","",,"","","","","","","","",false,false,false,"",,,,,,,,,,,,,,false,"POST","","","","","","",,,"",false,""
"Sabias que... Conhecer-te é aprender a distinguir a tua voz da voz do medo.

#fyp #foryou #fypシ #autoconhecimento #selfknowledge #introspeccao #viviannedossantos #seteveus #manhãs #pt","2026-05-22","10:30",false,false,false,false,false,false,false,true,false,false,false,"https://tdytdamtfillqyklgrmb.supabase.co/storage/v1/object/public/course-assets/vc-sabia-renders/vc-sabia-2026-05-d16-d31-1778861977952-d22.mp4","","","","","","","","","",,"","","","","","","","","","",false,"","","","POST","","","","","",,,,,"","",,"","",,"","","","","","","","",false,false,false,PUBLIC_TO_EVERYONE,,,,0,,,,,,,,,,false,"POST","","","","","","",,,"",false,""
"Sabias que... A borboleta não sabe voar antes de se dissolver por dentro. Tu também. Confia na tua transformação.

#fyp #foryou #fypシ #autoamor #amorproprio #selflove #viviannedossantos #seteveus #manhãs #pt","2026-05-23","10:30",false,false,false,false,false,false,false,true,false,false,false,"https://tdytdamtfillqyklgrmb.supabase.co/storage/v1/object/public/course-assets/vc-sabia-renders/vc-sabia-2026-05-d16-d31-1778861977952-d23.mp4","","","","","","","","","",,"","","","","","","","","","",false,"","","","POST","","","","","",,,,,"","",,"","",,"","","","","","","","",false,false,false,PUBLIC_TO_EVERYONE,,,,0,,,,,,,,,,false,"POST","","","","","","",,,"",false,""
"Sabias que...

A borboleta não sabe voar antes de se dissolver por dentro. Tu também. Confia na tua transformação.

Vivianne dos Santos · seteveus.space

.
.
.

#autoamor #amorproprio #selflove #viviannedossantos #seteveus #escoladosveus #manhãs #despertar #consciencia #espiritualidade #pt #portugal","2026-05-23","10:00",false,false,false,false,false,true,false,false,false,false,false,"https://tdytdamtfillqyklgrmb.supabase.co/storage/v1/object/public/course-assets/vc-sabia-renders/vc-sabia-2026-05-d16-d31-1778861977952-d23.mp4","","","","","","","","","",,"","","","","","","","","","",false,"","","","POST","","","","","",,,,,"REEL",true,,"","",,"","","","","","","","",false,false,false,"",,,,,,,,,,,,,,false,"POST","","","","","","",,,"",false,""
"amanhã, escolho

Amanhã, escolho começar devagar. A pressa não me serve.

Vivianne dos Santos
seteveus.space

.
.
.

#intencao #amanha #manifestar #viviannedossantos #seteveus #escoladosveus #fechodoDia #introspeccao #noite #contemplativo #evolução #pt #portugal","2026-05-17","19:00",false,false,false,false,false,true,false,false,false,false,false,"https://tdytdamtfillqyklgrmb.supabase.co/storage/v1/object/public/course-assets/hoje-em-mim-renders/sun/2026-05-17-sun-hem-0043.mp4","","","","","","","","","",,"","","","","","","","","","",false,"","","","POST","","","","","",,,,,"REEL",true,,"","",,"","","","","","","","",false,false,false,"",,,,,,,,,,,,,,false,"POST","","","","","","",,,"",false,""
